accountType,accountId,enabledInPeopleSoft,enabledInEntraMicrosoft,unusedEntraMicrosoft6Months,unusedEntraMicrosoft12Months,neverUsedEntraMicrosoft,neverUsedPeopleSoft
campus,1,false,false,false,false,true,false
campus,2,false,false,false,false,true,false
campus,3,false,false,false,false,true,false
campus,4,true,true,false,false,false,false
campus,5,false,false,false,false,true,false
campus,6,true,true,false,false,false,false
campus,7,true,true,false,false,false,false
campus,8,true,true,false,false,false,false
campus,9,false,false,false,false,true,false
campus,10,true,true,false,false,false,false
alumni,11,false,true,false,false,false,false
campus,12,true,true,false,false,false,false
campus,13,true,true,false,false,false,false
alumni,14,false,true,true,false,false,false
campus,15,false,false,false,false,true,true
campus,16,true,false,false,false,true,false
campus,17,false,false,false,false,true,false
campus,18,true,true,false,false,false,false
alumni,19,false,true,true,false,false,false
alumni,20,false,true,true,true,false,false
alumni,21,false,true,true,true,false,false
campus,22,true,true,false,false,false,false
alumni,23,false,true,true,true,false,false
alumni,24,false,true,false,false,false,false
campus,25,true,true,false,false,false,false
campus,26,true,true,false,false,false,false
campus,27,true,true,true,false,false,true
campus,28,true,true,false,false,false,false
alumni,29,false,true,false,false,false,false
campus,30,false,true,true,false,false,false
alumni,31,false,true,true,true,false,true
campus,32,false,true,false,false,true,true
campus,33,true,true,false,false,false,false
campus,34,true,true,false,false,false,false
alumni,35,false,true,true,true,false,true
campus,36,false,false,false,false,true,false
campus,37,false,false,true,true,false,false
alumni,38,false,true,true,true,false,false
campus,39,false,false,false,false,true,true
campus,40,false,true,false,false,true,true
campus,41,true,true,false,false,false,false
campus,42,true,true,false,false,false,false
campus,43,true,false,false,false,true,true
campus,44,true,true,false,false,false,false
campus,45,true,true,false,false,false,false
campus,46,false,true,false,false,false,false
campus,47,true,true,false,false,false,false
alumni,48,false,true,false,false,true,true
campus,49,true,true,false,false,false,false
campus,50,true,true,false,false,false,false
campus,51,false,false,false,false,true,true
campus,52,false,false,false,false,true,false
campus,53,false,false,false,false,true,false
campus,54,false,true,false,false,true,true
campus,55,false,false,true,true,false,true
campus,56,false,true,false,false,true,true
campus,57,false,true,false,false,true,true
campus,58,false,true,false,false,true,true
campus,59,false,false,false,false,true,false
campus,60,true,true,false,false,false,false
alumni,61,false,true,false,false,false,true
alumni,62,false,true,false,false,false,true
campus,63,false,false,true,true,false,true
campus,64,false,false,true,false,false,true
alumni,65,false,true,false,false,true,true
campus,67,false,true,false,false,true,true
alumni,68,false,true,true,true,false,false
alumni,69,false,true,true,false,false,false
campus,70,true,true,false,false,false,false
campus,71,true,true,false,false,false,false
alumni,72,false,true,true,false,false,false
campus,73,true,true,false,false,false,false
campus,74,true,true,false,false,false,false
campus,75,true,true,false,false,false,false
campus,76,true,true,false,false,false,false
campus,77,true,true,false,false,false,false
campus,78,true,true,false,false,false,false
campus,79,false,false,false,false,true,true
campus,80,false,false,false,false,true,false
campus,81,false,false,false,false,false,true
campus,82,false,true,false,false,false,false
campus,83,false,false,false,false,true,false
campus,84,false,false,true,true,false,false
campus,85,false,false,false,false,true,true
campus,86,false,false,false,false,true,true
campus,87,true,true,false,false,false,false
alumni,88,false,true,false,false,false,false
alumni,89,false,true,true,true,false,false
campus,90,true,true,false,false,true,true
campus,91,true,true,false,false,false,false
campus,92,true,true,true,true,false,false
alumni,93,false,true,true,true,false,true
alumni,94,false,true,false,false,false,false
campus,95,false,true,true,true,false,false
campus,96,true,true,false,false,false,false
campus,97,true,true,false,false,false,false
alumni,98,false,true,false,false,false,false
campus,99,true,true,true,false,false,false
campus,100,true,true,false,false,false,false
campus,101,true,true,false,false,false,false
campus,102,false,false,false,false,true,true
alumni,103,false,true,false,false,false,false
campus,104,false,false,false,false,true,false
campus,105,true,true,false,false,false,false
campus,106,true,true,false,false,false,false
campus,107,true,true,false,false,false,false
campus,108,false,true,false,false,false,true
campus,109,true,true,false,false,false,false
campus,110,true,true,false,false,false,false
alumni,111,false,true,false,false,false,false
campus,112,true,true,false,false,false,false
campus,113,true,true,false,false,false,false
campus,114,true,true,false,false,false,false
campus,115,true,true,false,false,false,false
campus,116,false,false,false,false,true,false
campus,117,false,false,false,false,true,false
campus,118,true,true,false,false,false,false
campus,119,false,true,true,true,false,true
campus,120,true,true,false,false,false,false
campus,121,true,true,false,false,false,false
alumni,122,false,true,true,true,false,true
alumni,123,false,true,false,false,true,true
alumni,125,false,true,false,false,true,true
campus,127,false,false,true,false,false,true
campus,128,false,false,true,true,false,true
campus,131,false,true,false,false,true,true
campus,132,true,true,false,false,false,false
campus,133,true,true,false,false,false,false
campus,134,true,true,false,false,false,false
campus,135,false,false,false,false,true,true
campus,136,true,true,false,false,false,false
alumni,137,false,true,false,false,false,true
campus,138,true,true,false,false,false,false
campus,139,false,true,true,true,false,false
alumni,140,false,false,false,false,true,true
campus,143,false,false,false,false,true,true
campus,144,false,false,false,false,true,false
campus,145,true,true,false,false,false,false
campus,146,true,true,false,false,false,false
campus,147,false,true,false,false,true,true
campus,148,false,true,false,false,true,true
campus,149,true,true,false,false,false,false
campus,150,true,true,false,false,false,false
campus,151,true,true,false,false,false,false
campus,152,false,false,false,false,true,false
campus,153,false,false,false,false,true,true
campus,154,false,false,false,false,true,false
campus,155,false,false,false,false,true,false
campus,156,true,true,false,false,false,false
campus,157,false,false,false,false,true,false
campus,158,true,true,false,false,false,false
campus,159,true,false,false,false,true,true
campus,160,false,false,false,false,true,false
campus,161,false,true,false,false,true,true
alumni,162,false,true,false,false,false,false
alumni,163,false,true,false,false,false,false
campus,164,false,false,false,false,true,false
campus,165,false,false,false,false,true,true
campus,166,true,true,false,false,false,false
campus,167,false,false,false,false,true,false
campus,168,true,true,false,false,false,false
campus,169,false,false,false,false,true,false
campus,170,true,true,false,false,false,false
campus,171,true,true,false,false,false,false
campus,172,false,false,false,false,true,false
campus,173,false,false,false,false,true,false
campus,174,true,true,false,false,false,false
campus,175,false,false,false,false,false,true
campus,176,false,false,true,true,false,false
alumni,177,false,true,true,false,false,false
alumni,178,false,true,false,false,false,false
campus,179,true,true,true,true,false,false
alumni,180,false,true,true,true,false,false
campus,181,true,true,false,false,false,false
campus,182,true,true,true,false,false,false
campus,183,true,true,false,false,false,false
alumni,184,false,true,true,true,false,false
campus,185,true,true,false,false,false,false
campus,186,true,true,false,false,false,false
campus,187,false,false,false,false,true,false
campus,188,false,false,true,true,false,false
campus,189,true,true,false,false,false,false
alumni,190,false,true,true,true,false,false
campus,191,true,true,false,false,false,false
campus,192,true,true,true,true,false,false
campus,193,false,false,false,false,true,false
campus,194,true,true,false,false,false,false
campus,195,false,false,true,true,false,false
campus,196,false,false,false,false,true,false
campus,197,false,true,false,false,false,false
campus,198,true,true,false,false,false,false
campus,199,true,true,false,false,false,false
campus,200,true,true,false,false,false,false
campus,201,false,false,true,true,false,true
campus,202,true,true,false,false,false,false
campus,203,true,true,false,false,false,false
campus,204,true,true,false,false,false,false
campus,205,true,true,false,false,false,false
alumni,206,false,true,false,false,false,true
alumni,207,false,true,true,true,false,true
campus,208,false,false,false,false,true,false
campus,209,false,false,false,false,true,false
campus,210,false,false,false,false,true,true
alumni,211,false,true,false,false,false,false
campus,212,false,false,false,false,true,false
campus,213,false,true,false,false,true,true
campus,214,false,true,true,true,false,false
campus,215,false,false,false,false,true,true
campus,216,true,true,false,false,false,false
campus,217,false,false,false,false,true,false
campus,218,false,false,false,false,true,false
campus,219,true,true,false,false,false,false
campus,220,false,false,false,false,true,false
campus,221,true,true,false,false,false,false
campus,222,false,false,false,false,true,false
campus,223,false,false,false,false,true,false
campus,224,true,true,false,false,false,false
campus,225,false,false,false,false,true,true
campus,226,false,false,false,false,true,false
campus,227,true,true,false,false,false,false
campus,228,false,false,false,false,true,true
alumni,229,false,true,true,true,false,true
campus,230,false,false,true,true,false,false
campus,231,true,true,false,false,false,false
campus,232,false,true,false,false,false,true
campus,233,false,true,false,false,false,false
campus,234,false,false,false,false,false,true
campus,235,true,true,false,false,false,false
alumni,236,false,true,false,false,false,false
alumni,237,false,true,true,true,false,true
alumni,238,false,true,false,false,false,false
campus,239,true,true,false,false,true,true
alumni,240,false,true,true,false,false,false
alumni,241,false,true,false,false,false,false
campus,242,true,true,true,false,false,true
alumni,243,false,true,true,true,false,true
campus,244,true,true,false,false,false,false
alumni,246,false,true,true,true,false,false
campus,247,true,true,true,true,false,false
campus,248,false,false,false,false,true,true
campus,249,true,true,false,false,false,false
campus,250,true,true,false,false,false,false
campus,251,true,true,false,false,false,false
alumni,252,false,true,true,true,false,true
alumni,253,false,true,true,false,false,false
alumni,254,false,true,true,false,false,true
alumni,255,false,true,false,false,false,true
alumni,256,false,true,false,false,false,false
campus,257,false,false,false,false,false,false
campus,258,true,true,false,false,false,false
alumni,259,false,true,false,false,false,false
campus,260,true,true,false,false,false,false
alumni,261,false,true,true,true,false,false
campus,262,true,true,false,false,false,false
campus,263,true,false,true,true,false,false
alumni,264,false,true,false,false,false,false
campus,265,true,true,false,false,false,false
campus,266,true,true,false,false,false,false
campus,267,true,true,false,false,false,false
campus,268,true,true,false,false,false,false
alumni,269,false,true,false,false,true,true
alumni,270,false,true,false,false,false,false
