accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months	neverUsedEntraMicrosoft	neverUsedPeopleSoft
1	campus	2024-08-15	false	null	null	false	false	true	false
2	campus	2024-08-22	false	null	null	false	false	true	false
3	campus	2024-09-20	false	null	null	false	false	true	false
4	campus	2026-02-20	true	2026-04-06	true	false	false	false	false
5	campus	2022-05-07	false	null	false	false	false	true	false
6	campus	2026-01-23	true	2026-04-02	true	false	false	false	false
7	campus	2026-03-21	true	2026-04-07	true	false	false	false	false
8	campus	2026-04-03	true	2026-04-06	true	false	false	false	false
9	campus	2023-01-31	false	null	null	false	false	true	false
10	campus	2026-03-25	true	2026-04-06	true	false	false	false	false
11	alumni	2025-06-09	false	2026-04-02	true	false	false	false	false
12	campus	2026-04-03	true	2026-04-03	true	false	false	false	false
13	campus	2026-04-08	true	2026-04-06	true	false	false	false	false
14	alumni	2024-05-22	false	2025-10-03	true	true	false	false	false
15	campus	null	false	null	null	false	false	true	true
16	campus	2021-11-11	true	null	null	false	false	true	false
17	campus	2021-08-25	false	null	null	false	false	true	false
18	campus	2026-03-30	true	2026-04-06	true	false	false	false	false
19	alumni	2025-01-24	false	2025-05-17	true	true	false	false	false
20	alumni	2023-06-27	false	2023-07-31	true	true	true	false	false
21	alumni	2022-05-11	false	2025-01-02	true	true	true	false	false
22	campus	2026-04-04	true	2026-04-07	true	false	false	false	false
23	alumni	2022-06-23	false	2024-06-03	true	true	true	false	false
24	alumni	2025-05-12	false	2026-04-03	true	false	false	false	false
25	campus	2026-03-23	true	2026-04-06	true	false	false	false	false
26	campus	2026-04-03	true	2026-04-06	true	false	false	false	false
27	campus	null	true	2025-06-11	true	true	false	false	true
28	campus	2026-03-27	true	2026-04-07	true	false	false	false	false
29	alumni	2025-06-22	false	2026-03-25	true	false	false	false	false
30	campus	2024-06-22	false	2025-08-20	true	true	false	false	false
31	alumni	null	null	2022-03-25	true	true	true	false	true
32	campus	null	null	null	true	false	false	true	true
33	campus	2026-04-08	true	2026-04-06	true	false	false	false	false
34	campus	2026-03-15	true	2026-03-30	true	false	false	false	false
35	alumni	null	null	2022-10-04	true	true	true	false	true
36	campus	2025-01-29	false	null	null	false	false	true	false
37	campus	2023-05-01	false	2024-04-14	false	true	true	false	false
38	alumni	2022-05-10	false	2024-05-15	true	true	true	false	false
39	campus	null	false	null	null	false	false	true	true
40	campus	null	false	null	true	false	false	true	true
41	campus	2026-02-06	true	2026-03-12	true	false	false	false	false
42	campus	2026-04-03	true	2026-04-06	true	false	false	false	false
43	campus	null	true	null	null	false	false	true	true
44	campus	2026-04-04	true	2026-04-04	true	false	false	false	false
45	campus	2026-04-03	true	2026-04-03	true	false	false	false	false
46	campus	2026-01-14	false	2026-04-02	true	false	false	false	false
47	campus	2026-04-07	true	2026-04-07	true	false	false	false	false
48	alumni	null	null	null	true	false	false	true	true
49	campus	2026-03-31	true	2026-04-06	true	false	false	false	false
50	campus	2026-04-08	true	2026-04-07	true	false	false	false	false
51	campus	null	null	null	false	false	false	true	true
52	campus	2022-01-12	false	null	null	false	false	true	false
53	campus	2024-05-23	false	null	null	false	false	true	false
54	campus	null	null	null	true	false	false	true	true
55	campus	null	null	2023-04-05	false	true	true	false	true
56	campus	null	null	null	true	false	false	true	true
57	campus	null	null	null	true	false	false	true	true
58	campus	null	null	null	true	false	false	true	true
59	campus	2023-06-13	false	null	null	false	false	true	false
60	campus	2025-05-13	true	2026-04-06	true	false	false	false	false
61	alumni	null	null	2026-03-27	true	false	false	false	true
62	alumni	null	null	2026-04-01	true	false	false	false	true
63	campus	null	null	2024-10-09	false	true	true	false	true
64	campus	null	null	2025-05-08	false	true	false	false	true
65	alumni	null	null	null	true	false	false	true	true
67	campus	null	null	null	true	false	false	true	true
68	alumni	2023-05-27	false	2024-10-29	true	true	true	false	false
69	alumni	2023-06-16	false	2025-06-27	true	true	false	false	false
70	campus	2026-04-03	true	2026-04-06	true	false	false	false	false
71	campus	2026-04-08	true	2026-04-02	true	false	false	false	false
72	alumni	2025-04-30	false	2025-08-10	true	true	false	false	false
73	campus	2026-04-08	true	2026-04-06	true	false	false	false	false
74	campus	2026-04-08	true	2026-04-05	true	false	false	false	false
75	campus	2025-12-21	true	2026-04-06	true	false	false	false	false
76	campus	2026-04-05	true	2026-04-06	true	false	false	false	false
77	campus	2026-03-09	true	2026-04-07	true	false	false	false	false
78	campus	2026-04-05	true	2026-04-06	true	false	false	false	false
79	campus	null	false	null	null	false	false	true	true
80	campus	2021-12-31	false	null	null	false	false	true	false
81	campus	null	false	2026-02-02	false	false	false	false	true
82	campus	2026-02-25	false	2026-03-21	true	false	false	false	false
83	campus	2022-05-20	false	null	null	false	false	true	false
84	campus	2023-05-08	false	2023-07-13	false	true	true	false	false
85	campus	null	false	null	null	false	false	true	true
86	campus	null	false	null	null	false	false	true	true
87	campus	2026-04-08	true	2026-04-06	true	false	false	false	false
88	alumni	2022-05-09	false	2026-04-06	true	false	false	false	false
89	alumni	2022-05-10	false	2024-04-28	true	true	true	false	false
90	campus	null	true	null	true	false	false	true	true
91	campus	2026-04-07	true	2026-04-06	true	false	false	false	false
92	campus	2023-03-05	true	2023-03-05	true	true	true	false	false
93	alumni	null	null	2021-11-10	true	true	true	false	true
94	alumni	2023-07-24	false	2025-10-28	true	false	false	false	false
95	campus	2023-05-25	false	2023-12-02	true	true	true	false	false
96	campus	2026-03-26	true	2026-04-06	true	false	false	false	false
97	campus	2026-03-25	true	2026-04-06	true	false	false	false	false
98	alumni	2022-05-11	false	2026-03-12	true	false	false	false	false
99	campus	2025-09-01	true	2025-09-01	true	true	false	false	false
100	campus	2026-03-23	true	2026-04-06	true	false	false	false	false
101	campus	2026-04-08	true	2026-04-06	true	false	false	false	false
102	campus	null	false	null	null	false	false	true	true
103	alumni	2023-05-08	false	2025-11-11	true	false	false	false	false
104	campus	2022-07-05	false	null	null	false	false	true	false
105	campus	2026-04-07	true	2026-04-03	true	false	false	false	false
106	campus	2026-04-01	true	2026-04-06	true	false	false	false	false
107	campus	2026-04-08	true	2026-04-06	true	false	false	false	false
108	campus	null	null	2025-12-19	true	false	false	false	true
109	campus	2026-04-04	true	2026-04-04	true	false	false	false	false
110	campus	2026-04-08	true	2026-04-07	true	false	false	false	false
111	alumni	2025-06-10	false	2025-12-15	true	false	false	false	false
112	campus	2026-03-30	true	2026-04-06	true	false	false	false	false
113	campus	2026-04-05	true	2026-04-06	true	false	false	false	false
114	campus	2026-04-07	true	2026-04-06	true	false	false	false	false
115	campus	2026-04-08	true	2026-04-07	true	false	false	false	false
