accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
48	alumni	null	null	null	true	true	true
65	alumni	null	null	null	true	true	true
123	alumni	null	null	null	true	true	true
125	alumni	null	null	null	true	true	true
269	alumni	null	null	null	true	true	true
275	alumni	null	null	null	true	true	true
348	alumni	null	null	null	true	true	true
367	alumni	null	null	null	true	true	true
407	alumni	null	null	null	true	true	true
435	alumni	null	null	null	true	true	true
482	alumni	null	null	null	true	true	true
501	alumni	null	null	null	true	true	true
571	alumni	null	null	null	true	true	true
682	alumni	null	null	null	true	true	true
723	alumni	null	null	null	true	true	true
738	alumni	null	null	null	true	true	true
783	alumni	null	null	null	true	true	true
893	alumni	2023-03-09	false	null	true	true	true
902	alumni	null	null	null	true	true	true
916	alumni	null	null	null	true	true	true
923	alumni	null	null	null	true	true	true
1004	alumni	null	null	null	true	true	true
1066	alumni	null	null	null	true	true	true
1238	alumni	null	null	null	true	true	true
1267	alumni	null	null	null	true	true	true
1328	alumni	null	null	null	true	true	true
1356	alumni	null	null	null	true	true	true
1405	alumni	null	null	null	true	true	true
1421	alumni	null	null	null	true	true	true
1430	alumni	null	null	null	true	true	true
1470	alumni	null	null	null	true	true	true
1501	alumni	null	null	null	true	true	true
1626	alumni	null	null	null	true	true	true
1679	alumni	null	null	null	true	true	true
1704	alumni	null	null	null	true	true	true
1723	alumni	null	null	null	true	true	true
1743	alumni	null	null	null	true	true	true
1870	alumni	null	null	null	true	true	true
1885	alumni	null	null	null	true	true	true
1978	alumni	null	null	null	true	true	true
2111	alumni	null	null	null	true	true	true
2133	alumni	null	null	null	true	true	true
2152	alumni	null	null	null	true	true	true
2188	alumni	null	null	null	true	true	true
2215	alumni	null	null	null	true	true	true
2251	alumni	null	null	null	true	true	true
2258	alumni	null	null	null	true	true	true
2291	alumni	null	null	null	true	true	true
2317	alumni	null	null	null	true	true	true
2424	alumni	null	null	null	true	true	true
2425	alumni	null	null	null	true	true	true
2448	alumni	null	null	null	true	true	true
2455	alumni	null	null	null	true	true	true
2489	alumni	null	null	null	true	true	true
2502	alumni	null	null	null	true	true	true
2505	alumni	null	null	null	true	true	true
2516	alumni	null	null	null	true	true	true
2558	alumni	null	null	null	true	true	true
2559	alumni	null	null	null	true	true	true
2573	alumni	null	null	null	true	true	true
2594	alumni	null	null	null	true	true	true
2665	alumni	null	null	null	true	true	true
2718	alumni	null	null	null	true	true	true
2755	alumni	null	null	null	true	true	true
2833	alumni	null	null	null	true	true	true
2948	alumni	null	null	null	true	true	true
3024	alumni	null	null	null	true	true	true
3139	alumni	null	null	null	true	true	true
3203	alumni	null	null	null	true	true	true
3229	alumni	null	null	null	true	true	true
3238	alumni	null	null	null	true	true	true
3280	alumni	null	null	null	true	true	true
3357	alumni	null	null	null	true	true	true
3360	alumni	null	null	null	true	true	true
3553	alumni	null	null	null	true	true	true
3611	alumni	null	null	null	true	true	true
3623	alumni	null	null	null	true	true	true
3741	alumni	null	null	null	true	true	true
3763	alumni	null	null	null	true	true	true
3789	alumni	null	null	null	true	true	true
3859	alumni	null	null	null	true	true	true
3907	alumni	null	null	null	true	true	true
3938	alumni	null	null	null	true	true	true
4002	alumni	null	null	null	true	true	true
4053	alumni	null	null	null	true	true	true
4054	alumni	null	null	null	true	true	true
4060	alumni	null	null	null	true	true	true
4165	alumni	null	null	null	true	true	true
4228	alumni	null	null	null	true	true	true
4269	alumni	null	null	null	true	true	true
4278	alumni	null	null	null	true	true	true
4360	alumni	null	null	null	true	true	true
4392	alumni	null	null	null	true	true	true
4412	alumni	null	null	null	true	true	true
4419	alumni	null	null	null	true	true	true
4438	alumni	null	null	null	true	true	true
4440	alumni	null	null	null	true	true	true
4460	alumni	null	null	null	true	true	true
4525	alumni	null	null	null	true	true	true
4548	alumni	null	null	null	true	true	true
4562	alumni	null	null	null	true	true	true
4574	alumni	null	null	null	true	true	true
4587	alumni	null	null	null	true	true	true
4603	alumni	null	null	null	true	true	true
