accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
20	alumni	2023-06-27	false	2023-07-31	true	true	true
21	alumni	2022-05-11	false	2025-01-02	true	true	true
23	alumni	2022-06-23	false	2024-06-03	true	true	true
31	alumni	null	null	2022-03-25	true	true	true
35	alumni	null	null	2022-10-04	true	true	true
38	alumni	2022-05-10	false	2024-05-15	true	true	true
48	alumni	null	null	null	true	true	true
65	alumni	null	null	null	true	true	true
68	alumni	2023-05-27	false	2024-10-29	true	true	true
89	alumni	2022-05-10	false	2024-04-28	true	true	true
93	alumni	null	null	2021-11-10	true	true	true
122	alumni	null	null	2024-04-22	true	true	true
123	alumni	null	null	null	true	true	true
125	alumni	null	null	null	true	true	true
140	alumni	null	null	null	false	true	true
180	alumni	2022-05-09	false	2022-07-10	true	true	true
184	alumni	2022-05-14	false	2022-06-14	true	true	true
190	alumni	2023-05-22	false	2023-08-16	true	true	true
207	alumni	null	null	2022-02-17	true	true	true
229	alumni	null	null	2022-12-03	true	true	true
237	alumni	null	null	2022-10-03	true	true	true
243	alumni	null	null	2022-12-20	true	true	true
246	alumni	2023-01-06	false	2025-02-27	true	true	true
252	alumni	null	null	2024-12-07	true	true	true
261	alumni	2022-05-26	false	2022-08-31	true	true	true
269	alumni	null	null	null	true	true	true
275	alumni	null	null	null	true	true	true
279	alumni	2024-05-13	false	2024-08-06	true	true	true
281	alumni	null	null	2024-11-18	true	true	true
290	alumni	null	null	2021-11-27	true	true	true
322	alumni	null	null	2023-06-13	true	true	true
326	alumni	2022-05-16	false	2022-08-30	true	true	true
337	alumni	2023-06-09	false	2023-07-27	true	true	true
340	alumni	null	null	2024-04-27	true	true	true
348	alumni	null	null	null	true	true	true
358	alumni	2024-05-13	false	2024-09-05	true	true	true
364	alumni	2024-05-16	false	2024-08-15	true	true	true
367	alumni	null	null	null	true	true	true
375	alumni	null	null	2022-07-23	true	true	true
379	alumni	null	null	2022-10-03	true	true	true
386	alumni	2022-05-26	false	2023-06-04	true	true	true
398	alumni	2024-05-29	false	2025-03-06	true	true	true
407	alumni	null	null	null	true	true	true
409	alumni	2023-06-01	false	2024-12-19	true	true	true
413	alumni	2023-05-26	false	2024-06-01	true	true	true
433	alumni	null	null	2025-02-11	true	true	true
