accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
32	campus	null	null	null	true	true	true
40	campus	null	false	null	true	true	true
54	campus	null	null	null	true	true	true
56	campus	null	null	null	true	true	true
57	campus	null	null	null	true	true	true
58	campus	null	null	null	true	true	true
67	campus	null	null	null	true	true	true
90	campus	null	true	null	true	true	true
131	campus	null	null	null	true	true	true
147	campus	null	null	null	true	true	true
148	campus	null	false	null	true	true	true
161	campus	null	null	null	true	true	true
213	campus	null	null	null	true	true	true
239	campus	null	true	null	true	true	true
372	campus	null	true	null	true	true	true
412	campus	null	false	null	true	true	true
437	campus	null	true	null	true	true	true
450	campus	null	null	null	true	true	true
459	campus	null	true	null	true	true	true
463	campus	null	null	null	true	true	true
467	campus	null	false	null	true	true	true
473	campus	2023-06-07	true	null	true	true	true
494	campus	null	null	null	true	true	true
558	campus	null	null	null	true	true	true
561	campus	null	null	null	true	true	true
562	campus	null	null	null	true	true	true
601	campus	null	false	null	true	true	true
622	campus	null	null	null	true	true	true
643	campus	null	true	null	true	true	true
769	campus	null	true	null	true	true	true
802	campus	null	null	null	true	true	true
803	campus	null	null	null	true	true	true
827	campus	2022-09-28	true	null	true	true	true
889	campus	null	null	null	true	true	true
973	campus	null	null	null	true	true	true
988	campus	null	null	null	true	true	true
1019	campus	null	true	null	true	true	true
1038	campus	null	false	null	true	true	true
1094	campus	null	true	null	true	true	true
1106	campus	null	true	null	true	true	true
1160	campus	null	null	null	true	true	true
1195	campus	2023-10-07	false	null	true	true	true
1214	campus	null	true	null	true	true	true
1451	campus	null	true	null	true	true	true
1457	campus	null	true	null	true	true	true
1472	campus	null	false	null	true	true	true
1483	campus	null	true	null	true	true	true
1540	campus	2024-09-11	true	null	true	true	true
1737	campus	2023-04-07	true	null	true	true	true
1761	campus	null	true	null	true	true	true
1866	campus	null	null	null	true	true	true
1867	campus	null	null	null	true	true	true
1959	campus	null	null	null	true	true	true
2033	campus	null	true	null	true	true	true
2034	campus	2024-08-25	true	null	true	true	true
2054	campus	null	null	null	true	true	true
2069	campus	null	null	null	true	true	true
2089	campus	null	true	null	true	true	true
2117	campus	null	null	null	true	true	true
2135	campus	null	true	null	true	true	true
2160	campus	null	true	null	true	true	true
2190	campus	null	null	null	true	true	true
2199	campus	null	true	null	true	true	true
2232	campus	null	true	null	true	true	true
2345	campus	null	true	null	true	true	true
2357	campus	null	null	null	true	true	true
2414	campus	2023-09-21	true	null	true	true	true
2449	campus	null	false	null	true	true	true
2458	campus	null	null	null	true	true	true
2468	campus	null	true	null	true	true	true
2604	campus	null	null	null	true	true	true
2614	campus	null	null	null	true	true	true
2620	campus	null	null	null	true	true	true
2663	campus	2025-06-06	true	null	true	true	true
2666	campus	null	null	null	true	true	true
2708	campus	2024-05-30	true	null	true	true	true
2730	campus	null	true	null	true	true	true
2790	campus	null	false	null	true	true	true
2798	campus	null	false	null	true	true	true
2804	campus	null	null	null	true	true	true
2844	campus	null	null	null	true	true	true
2904	campus	null	null	null	true	true	true
2917	campus	null	null	null	true	true	true
2991	campus	null	true	null	true	true	true
3038	campus	null	null	null	true	true	true
3091	campus	null	null	null	true	true	true
3184	campus	null	null	null	true	true	true
3233	campus	null	null	null	true	true	true
3234	campus	null	null	null	true	true	true
3241	campus	2025-07-08	false	null	true	true	true
3299	campus	null	false	null	true	true	true
3319	campus	null	false	null	true	true	true
3349	campus	null	null	null	true	true	true
3366	campus	null	null	null	true	true	true
3378	campus	2019-12-11	false	null	true	true	true
3379	campus	null	false	null	true	true	true
3609	campus	null	true	null	true	true	true
3657	campus	null	true	null	true	true	true
3702	campus	null	true	null	true	true	true
3736	campus	null	true	null	true	true	true
3737	campus	null	true	null	true	true	true
3807	campus	null	null	null	true	true	true
3813	campus	null	true	null	true	true	true
3825	campus	null	true	null	true	true	true
3970	campus	null	null	null	true	true	true
4025	campus	null	true	null	true	true	true
4030	campus	null	null	null	true	true	true
4040	campus	null	true	null	true	true	true
4042	campus	null	true	null	true	true	true
4137	campus	null	null	null	true	true	true
4138	campus	null	null	null	true	true	true
4139	campus	null	null	null	true	true	true
4140	campus	null	null	null	true	true	true
4141	campus	null	null	null	true	true	true
4155	campus	null	true	null	true	true	true
4170	campus	null	true	null	true	true	true
4230	campus	null	true	null	true	true	true
4245	campus	null	true	null	true	true	true
4268	campus	null	null	null	true	true	true
4281	campus	null	true	null	true	true	true
4370	campus	null	null	null	true	true	true
4445	campus	2023-02-10	true	null	true	true	true
4450	campus	null	true	null	true	true	true
4498	campus	2024-09-18	true	null	true	true	true
4590	campus	null	true	null	true	true	true
4632	campus	null	null	null	true	true	true
4633	campus	null	null	null	true	true	true
4634	campus	null	null	null	true	true	true
4635	campus	null	null	null	true	true	true
4636	campus	null	null	null	true	true	true
