accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
27	campus	null	true	2025-06-11	true	true	false
90	campus	null	true	null	true	true	true
92	campus	2023-03-05	true	2023-03-05	true	true	true
99	campus	2025-09-01	true	2025-09-01	true	true	false
179	campus	2025-03-19	true	2025-03-19	true	true	true
182	campus	2024-10-27	true	2025-09-19	true	true	false
192	campus	2025-01-24	true	2025-02-03	true	true	true
239	campus	null	true	null	true	true	true
242	campus	null	true	2025-07-26	true	true	false
247	campus	2023-08-23	true	2023-03-14	true	true	true
272	campus	2024-09-15	true	2025-03-24	true	true	true
273	campus	2025-01-06	true	2025-01-07	true	true	true
282	campus	2025-02-13	true	2025-04-11	true	true	true
283	campus	2025-01-03	true	2025-01-03	true	true	true
288	campus	2024-08-24	true	2024-11-19	true	true	true
307	campus	2025-04-29	true	2025-03-13	true	true	true
343	campus	2023-06-05	true	2023-05-24	true	true	true
365	campus	2024-01-24	true	2024-02-04	true	true	true
372	campus	null	true	null	true	true	true
385	campus	2024-06-21	true	2025-06-24	true	true	false
388	campus	2023-09-23	true	2023-11-19	true	true	true
437	campus	null	true	null	true	true	true
448	campus	2025-01-27	true	2025-06-11	true	true	false
449	campus	2024-06-12	true	2024-06-12	true	true	true
459	campus	null	true	null	true	true	true
471	campus	2025-05-14	true	2025-05-29	true	true	false
473	campus	2023-06-07	true	null	true	true	true
489	campus	2023-10-03	true	2023-10-03	true	true	true
498	campus	null	true	2023-11-21	true	true	true
530	campus	2023-05-10	true	2023-05-09	true	true	true
594	campus	2023-08-21	true	2025-10-08	true	true	false
643	campus	null	true	null	true	true	true
645	campus	2024-03-08	true	2024-04-24	true	true	true
647	campus	2024-05-08	true	2024-05-20	true	true	true
651	campus	2025-09-22	true	2025-09-22	true	true	false
655	campus	2025-04-14	true	2025-05-07	true	true	false
681	campus	2025-05-09	true	2025-05-19	true	true	false
688	campus	2024-06-13	true	2024-04-02	true	true	true
716	campus	2024-03-30	true	2024-04-10	true	true	true
725	campus	2024-09-19	true	2025-05-08	true	true	false
766	campus	2024-07-20	true	2024-09-03	true	true	true
769	campus	null	true	null	true	true	true
827	campus	2022-09-28	true	null	true	true	true
829	campus	2024-02-08	true	2024-08-10	true	true	true
