accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
27	campus	null	true	2025-06-11	true	true	false
43	campus	null	true	null	null	true	true
90	campus	null	true	null	true	true	true
159	campus	null	true	null	null	true	true
239	campus	null	true	null	true	true	true
242	campus	null	true	2025-07-26	true	true	false
372	campus	null	true	null	true	true	true
422	campus	null	true	null	null	true	true
437	campus	null	true	null	true	true	true
459	campus	null	true	null	true	true	true
498	campus	null	true	2023-11-21	true	true	true
507	campus	null	true	null	false	true	true
512	campus	null	true	null	null	true	true
516	campus	null	true	2026-03-28	true	false	false
586	campus	null	true	null	null	true	true
643	campus	null	true	null	true	true	true
769	campus	null	true	null	true	true	true
811	campus	null	true	null	null	true	true
814	campus	null	true	2025-12-01	true	false	false
1019	campus	null	true	null	true	true	true
1094	campus	null	true	null	true	true	true
1106	campus	null	true	null	true	true	true
1149	campus	null	true	2026-02-06	true	false	false
1214	campus	null	true	null	true	true	true
1324	campus	null	true	2024-01-11	true	true	true
1451	campus	null	true	null	true	true	true
1457	campus	null	true	null	true	true	true
1483	campus	null	true	null	true	true	true
1751	campus	null	true	null	null	true	true
1761	campus	null	true	null	true	true	true
1841	campus	null	true	null	null	true	true
1863	campus	null	true	2023-10-05	true	true	true
1923	campus	null	true	null	false	true	true
2033	campus	null	true	null	true	true	true
2089	campus	null	true	null	true	true	true
2135	campus	null	true	null	true	true	true
2160	campus	null	true	null	true	true	true
2199	campus	null	true	null	true	true	true
2232	campus	null	true	null	true	true	true
2345	campus	null	true	null	true	true	true
2382	campus	null	true	null	null	true	true
2385	campus	null	true	null	null	true	true
2400	campus	null	true	2026-04-06	true	false	false
2416	campus	null	true	2025-05-23	true	true	false
2468	campus	null	true	null	true	true	true
2547	campus	null	true	2026-02-01	true	false	false
2730	campus	null	true	null	true	true	true
2789	campus	null	true	2026-04-07	true	false	false
2901	campus	null	true	null	null	true	true
2932	campus	null	true	2026-04-03	true	false	false
2933	campus	null	true	2025-06-04	false	true	false
2991	campus	null	true	null	true	true	true
3046	campus	null	true	null	null	true	true
3056	campus	null	true	2026-03-27	true	false	false
3110	campus	null	true	2023-08-10	true	true	true
3226	campus	null	true	null	null	true	true
3273	campus	null	true	2026-04-02	true	false	false
3307	campus	null	true	null	null	true	true
3503	campus	null	true	2026-01-28	true	false	false
3609	campus	null	true	null	true	true	true
3657	campus	null	true	null	true	true	true
3702	campus	null	true	null	true	true	true
3704	campus	null	true	2026-03-18	true	false	false
3736	campus	null	true	null	true	true	true
3737	campus	null	true	null	true	true	true
3767	campus	null	true	2025-05-30	true	true	false
3813	campus	null	true	null	true	true	true
3825	campus	null	true	null	true	true	true
4025	campus	null	true	null	true	true	true
4040	campus	null	true	null	true	true	true
4042	campus	null	true	null	true	true	true
4112	campus	null	true	2026-03-31	true	false	false
