accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
30	campus	2024-06-22	false	2025-08-20	true	true	false
32	campus	null	null	null	true	true	true
40	campus	null	false	null	true	true	true
46	campus	2026-01-14	false	2026-04-02	true	false	false
54	campus	null	null	null	true	true	true
56	campus	null	null	null	true	true	true
57	campus	null	null	null	true	true	true
58	campus	null	null	null	true	true	true
67	campus	null	null	null	true	true	true
82	campus	2026-02-25	false	2026-03-21	true	false	false
95	campus	2023-05-25	false	2023-12-02	true	true	true
108	campus	null	null	2025-12-19	true	false	false
119	campus	null	null	2020-05-30	true	true	true
131	campus	null	null	null	true	true	true
139	campus	2024-07-16	false	2025-01-10	true	true	true
147	campus	null	null	null	true	true	true
148	campus	null	false	null	true	true	true
161	campus	null	null	null	true	true	true
197	campus	2025-05-01	false	2026-03-26	true	false	false
213	campus	null	null	null	true	true	true
214	campus	2017-03-10	false	2024-10-01	true	true	true
232	campus	null	null	2026-04-06	true	false	false
233	campus	2025-05-09	false	2026-03-06	true	false	false
294	campus	2024-12-04	false	2024-08-14	true	true	true
317	campus	2024-08-31	false	2024-10-18	true	true	true
323	campus	null	null	2025-12-19	true	false	false
351	campus	null	null	2021-06-15	true	true	true
352	campus	null	null	2024-08-14	true	true	true
404	campus	2024-06-19	false	2024-08-27	true	true	true
412	campus	null	false	null	true	true	true
426	campus	2025-02-05	false	2026-04-03	true	false	false
439	campus	null	false	2023-06-22	true	true	true
443	campus	2025-08-03	false	2025-08-18	true	true	false
450	campus	null	null	null	true	true	true
451	campus	2025-04-15	false	2025-10-22	true	false	false
463	campus	null	null	null	true	true	true
467	campus	null	false	null	true	true	true
491	campus	2025-08-08	false	2026-04-06	true	false	false
494	campus	null	null	null	true	true	true
548	campus	null	null	2026-03-23	true	false	false
558	campus	null	null	null	true	true	true
561	campus	null	null	null	true	true	true
562	campus	null	null	null	true	true	true
601	campus	null	false	null	true	true	true
607	campus	2025-07-19	false	2026-04-06	true	false	false
619	campus	2024-06-01	false	2026-01-16	true	false	false
