accountId	accountType	lastLoginDatePeopleSoft	enabledInPeopleSoft	lastLoginDateEntraMicrosoft	enabledInEntraMicrosoft	unusedEntraMicrosoft6Months	unusedEntraMicrosoft12Months
16	campus	2021-11-11	true	null	null	true	true
43	campus	null	true	null	null	true	true
159	campus	null	true	null	null	true	true
263	campus	2024-05-03	true	2024-05-02	false	true	true
316	campus	2023-07-09	true	2024-05-06	false	true	true
327	campus	2025-07-29	true	2025-12-19	false	false	false
383	campus	2025-10-06	true	2026-02-11	false	false	false
389	campus	2021-07-08	true	null	null	true	true
394	campus	2023-07-26	true	null	null	true	true
421	campus	2023-03-22	true	null	null	true	true
422	campus	null	true	null	null	true	true
507	campus	null	true	null	false	true	true
512	campus	null	true	null	null	true	true
538	campus	2025-07-03	true	2025-07-28	false	true	false
586	campus	null	true	null	null	true	true
590	campus	2024-06-19	true	2024-07-24	false	true	true
665	campus	2023-05-15	true	null	null	true	true
745	campus	2022-01-28	true	null	null	true	true
770	campus	2025-07-27	true	2025-11-06	false	false	false
811	campus	null	true	null	null	true	true
847	campus	2023-01-26	true	2023-01-31	false	true	true
910	campus	2023-11-13	true	null	null	true	true
935	campus	2023-01-08	true	null	null	true	true
939	campus	2023-01-06	true	null	null	true	true
968	campus	2025-08-27	true	2026-01-16	false	false	false
1031	campus	2020-12-10	true	null	null	true	true
1067	campus	2025-02-04	true	2025-03-09	false	true	true
1098	campus	2026-02-03	true	2026-02-03	false	false	false
1121	campus	2025-03-27	true	2025-06-04	false	true	false
1132	campus	2022-09-05	true	null	null	true	true
1136	campus	2022-12-16	true	null	null	true	true
1178	campus	2023-07-11	true	2023-10-19	false	true	true
1282	campus	2025-06-10	true	2026-02-10	false	false	false
1366	campus	2020-01-02	true	null	null	true	true
1406	campus	2022-05-08	true	null	null	true	true
1518	campus	2023-05-08	true	null	null	true	true
1544	campus	2025-12-16	true	2026-03-25	false	false	false
1573	campus	2025-10-03	true	null	null	true	true
1652	campus	2021-05-10	true	null	null	true	true
1735	campus	2023-06-16	true	null	null	true	true
1751	campus	null	true	null	null	true	true
1802	campus	2026-02-22	true	2026-04-04	false	false	false
1841	campus	null	true	null	null	true	true
1923	campus	null	true	null	false	true	true
1931	campus	2024-05-14	true	2024-08-07	false	true	true
1932	campus	2023-06-07	true	null	null	true	true
1971	campus	2023-12-19	true	2025-07-03	false	true	false
1995	campus	2025-05-06	true	2026-02-01	false	false	false
2014	campus	2024-04-21	true	2025-10-31	false	false	false
2176	campus	2021-07-25	true	null	null	true	true
2192	campus	2025-06-13	true	2025-08-12	false	true	false
2213	campus	2023-08-10	true	null	null	true	true
2300	campus	2024-02-14	true	2026-02-02	false	false	false
2335	campus	2025-12-12	true	2025-12-12	false	false	false
2382	campus	null	true	null	null	true	true
2385	campus	null	true	null	null	true	true
2405	campus	2023-07-16	true	null	null	true	true
2439	campus	2023-01-18	true	null	null	true	true
2441	campus	2023-01-10	true	null	null	true	true
2492	campus	2023-11-02	true	2024-01-05	false	true	true
2655	campus	2025-12-02	true	2026-02-21	false	false	false
2670	campus	2025-08-25	true	2025-10-06	false	true	false
2678	campus	2025-03-01	true	2025-11-21	false	false	false
2682	campus	2022-08-15	true	null	null	true	true
2821	campus	2021-11-30	true	null	null	true	true
2901	campus	null	true	null	null	true	true
2933	campus	null	true	2025-06-04	false	true	false
2956	campus	2021-06-09	true	null	null	true	true
3046	campus	null	true	null	null	true	true
3140	campus	2025-03-28	true	2025-09-30	false	true	false
3188	campus	2025-12-15	true	2026-03-04	false	false	false
3226	campus	null	true	null	null	true	true
3307	campus	null	true	null	null	true	true
3492	campus	2024-07-03	true	2024-08-22	false	true	true
3510	campus	2023-04-10	true	null	null	true	true
3583	campus	2023-05-12	true	2024-02-01	false	true	true
3595	campus	2023-05-18	true	null	null	true	true
3628	campus	2021-06-29	true	null	null	true	true
3742	campus	2023-08-07	true	null	null	true	true
3857	campus	2023-05-05	true	2024-03-01	false	true	true
3864	campus	2023-06-02	true	2023-05-28	false	true	true
3897	campus	2024-09-09	true	2024-09-10	false	true	true
4156	campus	2021-10-22	true	null	null	true	true
4160	campus	2022-01-18	true	null	null	true	true
4168	campus	2022-01-09	true	null	null	true	true
4171	campus	2022-07-26	true	2022-11-22	false	true	true
4207	campus	2023-05-09	true	null	null	true	true
4308	campus	2023-01-05	true	null	null	true	true
4356	campus	2022-03-25	true	null	null	true	true
4372	campus	2023-07-28	true	null	null	true	true
4377	campus	2022-10-11	true	null	null	true	true
4402	campus	2023-01-26	true	2023-09-11	false	true	true
4555	campus	2021-06-09	true	null	null	true	true
4579	campus	2023-09-08	true	2024-02-28	false	true	true
4588	campus	2026-01-07	true	2026-04-01	false	false	false
4592	campus	2023-04-11	true	null	null	true	true
4615	campus	2025-04-02	true	2025-11-29	false	false	false
4721	campus	2022-09-27	true	2022-11-20	false	true	true
4742	campus	null	true	null	null	true	true
4756	campus	2024-01-29	true	2024-10-20	false	true	true
4874	campus	2025-07-14	true	2025-07-27	false	true	false
4916	campus	2022-07-10	true	null	null	true	true
4922	campus	2021-02-19	true	null	null	true	true
4941	campus	2021-06-17	true	null	null	true	true
4968	campus	2022-12-21	true	null	null	true	true
5032	campus	2024-08-28	true	2024-11-03	false	true	true
5062	campus	2023-11-02	true	2024-01-29	false	true	true
5085	campus	2023-05-19	true	2023-05-20	false	true	true
5170	campus	2025-01-17	true	2025-06-22	false	true	false
5173	campus	2024-06-24	true	null	false	true	true
5182	campus	2021-07-09	true	2026-03-21	false	false	false
5204	campus	null	true	null	null	true	true
5258	campus	null	true	null	false	true	true
5263	campus	null	true	null	null	true	true
5266	campus	null	true	null	null	true	true
5286	campus	null	true	null	null	true	true
5310	campus	null	true	null	null	true	true
5363	campus	2025-12-09	true	2026-03-03	false	false	false
5383	campus	null	true	null	null	true	true
5389	campus	null	true	null	null	true	true
5401	campus	2020-08-28	true	null	null	true	true
5444	campus	2025-11-20	true	2025-11-20	false	false	false
5452	campus	2025-10-30	true	2026-03-28	false	false	false
5472	campus	null	true	null	null	true	true
5476	campus	null	true	null	null	true	true
5534	campus	2024-06-03	true	2026-02-03	false	false	false
5616	campus	null	true	null	null	true	true
5628	campus	null	true	null	null	true	true
5691	campus	2023-05-18	true	null	null	true	true
5728	campus	2025-08-29	true	2025-09-22	false	true	false
5765	campus	2022-06-13	true	null	null	true	true
5835	campus	2022-01-05	true	null	null	true	true
5851	campus	2022-05-31	true	null	null	true	true
5852	campus	2020-08-25	true	null	null	true	true
5857	campus	2022-03-22	true	null	null	true	true
5864	campus	2021-08-04	true	null	null	true	true
5887	campus	2022-11-10	true	null	null	true	true
6002	campus	2024-08-06	true	2025-08-08	false	true	false
6077	campus	2026-01-10	true	2026-01-10	false	false	false
6167	campus	2021-05-19	true	null	null	true	true
6177	campus	2021-02-02	true	null	null	true	true
6240	campus	2023-05-30	true	null	null	true	true
6276	campus	null	true	null	null	true	true
6468	campus	2025-04-15	true	2026-01-27	false	false	false
6469	campus	null	true	null	false	true	true
6473	campus	null	true	null	null	true	true
6475	campus	2024-03-19	true	null	null	true	true
6578	campus	2024-05-31	true	2024-08-04	false	true	true
6619	campus	null	true	null	null	true	true
6621	campus	null	true	null	null	true	true
6686	campus	2024-12-28	true	2025-01-23	false	true	true
6751	campus	2022-03-03	true	null	null	true	true
6755	campus	2023-05-01	true	2022-12-22	false	true	true
6767	campus	2025-01-28	true	2025-08-02	false	true	false
6820	campus	2023-05-12	true	null	null	true	true
6823	campus	null	true	null	null	true	true
6903	campus	null	true	null	null	true	true
6923	campus	2022-10-21	true	null	null	true	true
6979	campus	2026-01-15	true	2026-02-23	false	false	false
7015	campus	2021-09-03	true	null	null	true	true
7053	campus	2023-02-19	true	null	null	true	true
7165	campus	2025-08-05	true	2025-10-04	false	true	false
7337	campus	2023-10-18	true	2024-02-16	false	true	true
7451	campus	null	true	null	null	true	true
7459	campus	2021-05-04	true	null	null	true	true
7472	campus	2025-05-12	true	2025-05-12	false	true	false
7521	campus	2022-05-09	true	null	null	true	true
7531	campus	2025-09-09	true	2026-01-29	false	false	false
7539	campus	2024-01-19	true	2024-05-01	false	true	true
7553	campus	2023-12-25	true	2024-02-13	false	true	true
7676	campus	2021-08-03	true	null	null	true	true
7695	campus	2023-01-06	true	null	null	true	true
7722	campus	2023-05-08	true	null	null	true	true
7746	campus	null	true	null	null	true	true
7819	campus	2022-01-04	true	null	null	true	true
7822	campus	2023-01-27	true	null	null	true	true
7843	campus	2021-08-16	true	null	null	true	true
7863	campus	2020-08-24	true	null	null	true	true
8041	campus	2021-12-21	true	null	null	true	true
8045	campus	2026-01-21	true	2026-02-06	false	false	false
8061	campus	2024-06-12	true	2024-06-12	false	true	true
8078	campus	2026-01-27	true	2026-01-27	false	false	false
8112	campus	2022-06-06	true	null	null	true	true
8130	campus	null	true	null	false	true	true
8159	campus	2021-01-19	true	null	null	true	true
8172	campus	2021-10-16	true	null	null	true	true
8301	campus	2025-09-01	true	2026-01-28	false	false	false
8320	campus	2024-07-17	true	2025-08-02	false	true	false
8346	campus	2023-05-15	true	null	null	true	true
8366	campus	2024-07-01	true	2024-07-21	false	true	true
8384	campus	2022-05-31	true	null	null	true	true
8388	campus	2021-12-20	true	null	null	true	true
8398	campus	2024-12-16	true	2026-01-05	false	false	false
8498	campus	2025-08-22	true	2025-10-31	false	false	false
8525	campus	2021-08-09	true	null	null	true	true
8526	campus	2024-02-07	true	2024-08-01	false	true	true
8555	campus	2022-05-13	true	null	null	true	true
8564	campus	2025-02-28	true	2025-05-19	false	true	false
8703	campus	null	true	null	null	true	true
8710	campus	2022-06-15	true	null	null	true	true
8721	campus	2026-01-07	true	2026-02-08	false	false	false
8749	campus	2024-05-16	true	2024-08-28	false	true	true
8759	campus	2021-07-13	true	null	null	true	true
8763	campus	2025-05-13	true	2025-08-31	false	true	false
8789	campus	2025-01-28	true	2025-04-27	false	true	false
8811	campus	2021-06-06	true	null	null	true	true
8873	campus	2022-12-20	true	null	null	true	true
8991	campus	2025-12-03	true	2025-12-23	false	false	false
9018	campus	2024-08-13	true	2024-08-14	false	true	true
9038	campus	2022-12-19	true	null	null	true	true
9045	campus	2025-11-19	true	null	null	true	true
9048	campus	null	true	null	null	true	true
9157	campus	2022-03-06	true	null	null	true	true
9325	campus	2023-05-08	true	null	null	true	true
9333	campus	2025-07-14	true	2025-09-20	false	true	false
9358	campus	2024-12-16	true	2026-02-11	false	false	false
9386	campus	2025-01-30	true	2025-08-26	false	true	false
9424	campus	2025-07-05	true	2026-02-17	false	false	false
9457	campus	2023-04-25	true	null	null	true	true
9471	campus	null	true	null	null	true	true
9508	campus	2023-04-11	true	null	null	true	true
9569	campus	2024-06-06	true	2024-06-11	false	true	true
9638	campus	2020-12-29	true	null	null	true	true
9721	campus	2025-09-03	true	2025-12-11	false	false	false
9726	campus	null	true	null	false	true	true
9731	campus	null	true	null	null	true	true
9764	campus	2023-05-08	true	null	null	true	true
9908	campus	2023-01-09	true	null	null	true	true
9984	campus	2022-12-10	true	2023-06-13	false	true	true
10088	campus	null	true	null	null	true	true
10295	campus	2023-05-04	true	null	null	true	true
10351	campus	2022-01-22	true	null	null	true	true
10417	campus	2022-01-26	true	null	null	true	true
10427	campus	null	true	null	false	true	true
10460	campus	2022-10-28	true	null	null	true	true
10466	campus	null	true	null	null	true	true
10484	campus	2023-01-10	true	null	null	true	true
10496	campus	2025-06-16	true	2025-06-19	false	true	false
10503	campus	2022-04-01	true	null	null	true	true
10552	campus	2025-11-08	true	2026-03-20	false	false	false
10600	campus	2023-03-26	true	null	null	true	true
10793	campus	2021-10-19	true	null	null	true	true
10815	campus	2023-05-09	true	null	null	true	true
10835	campus	2021-09-10	true	null	null	true	true
10911	campus	2025-09-05	true	2026-01-09	false	false	false
10949	campus	2022-08-23	true	null	null	true	true
10963	campus	2024-01-25	true	2025-05-25	false	true	false
11113	campus	null	true	null	null	true	true
11136	campus	2024-04-08	true	2026-03-23	false	false	false
11149	campus	2023-03-15	true	null	null	true	true
11179	campus	2024-11-06	true	2025-02-16	false	true	true
11220	campus	2025-08-12	true	2025-12-13	false	false	false
11281	campus	2025-05-07	true	2025-08-20	false	true	false
11305	campus	2024-09-09	true	2024-11-27	false	true	true
11386	campus	2023-01-06	true	null	null	true	true
11440	campus	2025-01-06	true	2025-09-13	false	true	false
11522	campus	2021-10-29	true	null	null	true	true
11531	campus	2025-05-24	true	2025-10-28	false	false	false
11867	campus	2023-05-12	true	2023-10-12	false	true	true
11893	campus	2025-12-17	true	2026-03-25	false	false	false
11924	campus	2022-08-08	true	null	null	true	true
11979	campus	2023-01-13	true	null	null	true	true
12097	campus	2023-05-30	true	null	null	true	true
12136	campus	2021-09-03	true	null	null	true	true
12181	campus	2022-06-16	true	null	null	true	true
12197	campus	2023-05-08	true	null	null	true	true
12266	campus	2025-07-23	true	2026-02-28	false	false	false
12270	campus	2023-04-24	true	null	null	true	true
12284	campus	2025-12-18	true	2025-12-26	false	false	false
12285	campus	2022-09-13	true	null	null	true	true
12344	campus	2022-04-30	true	null	null	true	true
